"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1259","Получить список заданий get /challenges API","webkit","Fri Apr 10 04:40:54 UTC 2026","passed","Fri Apr 10 04:40:55 UTC 2026","API challenge","apiPW.test.js","",""
"","6436","Пользователь может изменить bio","webkit","Fri Apr 10 04:09:05 UTC 2026","passed","Fri Apr 10 04:09:11 UTC 2026","Демо","demo.spec.js","",""
"","5665","Проверить цвет логотипа","chromium","Tue Apr 21 03:54:36 UTC 2026","passed","Tue Apr 21 03:54:42 UTC 2026","CSS","color.test.js","",""
"","605","Получить список заданий get /challenges @API","chromium","Tue Apr 21 04:34:11 UTC 2026","passed","Tue Apr 21 04:34:11 UTC 2026","API challenge v2","apiAxios.test.js","",""
"","5202","Пользователь может изменить bio.","webkit","Wed Apr 01 07:03:21 UTC 2026","failed","Wed Apr 01 07:03:26 UTC 2026","Builder","facade.spec.js","",""
"","4806","Пользователь может изменить bio.","firefox","Wed Apr 01 07:00:51 UTC 2026","failed","Wed Apr 01 07:00:56 UTC 2026","Builder","allure.test.js","",""
"","3458","Пользователь может изменить bio.","chromium","Wed Apr 01 07:03:07 UTC 2026","failed","Wed Apr 01 07:03:10 UTC 2026","Builder","builder.spec.js","",""
"","555","Получить список заданий get /challenges @API","firefox","Wed Apr 22 04:13:44 UTC 2026","passed","Wed Apr 22 04:13:44 UTC 2026","API challenge v2","apiAxiosJunior.test.js","",""
"","5518","Пользователь может изменить bio.","webkit","Wed Apr 01 07:03:14 UTC 2026","failed","Wed Apr 01 07:03:19 UTC 2026","Builder","builder.spec.js","",""
"","4486","Проверить цвет логотипа","firefox","Tue Apr 21 03:54:36 UTC 2026","passed","Tue Apr 21 03:54:41 UTC 2026","CSS","color.test.js","",""
"","3357","Пользователь может изменить bio.","chromium","Wed Apr 01 07:03:07 UTC 2026","failed","Wed Apr 01 07:03:10 UTC 2026","Builder","facade.spec.js","",""
"","552","Получить список заданий get /challenges @API","chromium","Wed Apr 22 04:13:44 UTC 2026","passed","Wed Apr 22 04:13:44 UTC 2026","API challenge v3","apiAxiosMiddle.test.js","",""
"","556","Получить список заданий get /challenges @API","chromium","Wed Apr 22 04:13:44 UTC 2026","passed","Wed Apr 22 04:13:44 UTC 2026","API challenge v2","apiAxiosJunior.test.js","",""
