"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4806","Пользователь может изменить bio.","firefox","2026-04-01","failed","2026-04-01","Builder","allure.test.js","",""
"","3357","Пользователь может изменить bio.","chromium","2026-04-01","failed","2026-04-01","Builder","facade.spec.js","",""
"","6705","Пользователь может изменить bio","webkit","2026-04-02","passed","2026-04-02","Демо","demo.spec.js","",""
"","5518","Пользователь может изменить bio.","webkit","2026-04-01","failed","2026-04-01","Builder","builder.spec.js","",""
"","4653","Пользователь может изменить bio.","firefox","2026-04-01","failed","2026-04-01","Builder","builder.spec.js","",""
"","4962","Пользователь может изменить bio.","firefox","2026-04-01","failed","2026-04-01","Builder","facade.spec.js","",""
"","7105","Пользователь может изменить bio.","webkit","2026-04-02","passed","2026-04-02","Builder","fixture.test.js","",""
"","4294","Пользователь может изменить bio","chromium","2026-04-02","passed","2026-04-02","Демо","demo.spec.js","",""
"","5202","Пользователь может изменить bio.","webkit","2026-04-01","failed","2026-04-01","Builder","facade.spec.js","",""
"","4536","Пользователь может изменить bio.","webkit","2026-04-01","failed","2026-04-01","Builder","allure.test.js","",""
"","5766","Пользователь может изменить bio","firefox","2026-04-02","passed","2026-04-02","Демо","demo.spec.js","",""
"","4560","Пользователь может изменить bio.","chromium","2026-04-02","passed","2026-04-02","Builder","fixture.test.js","",""
"","5860","Пользователь может изменить bio.","firefox","2026-04-02","passed","2026-04-02","Builder","fixture.test.js","",""
"","3458","Пользователь может изменить bio.","chromium","2026-04-01","failed","2026-04-01","Builder","builder.spec.js","",""
"","3104","Пользователь может изменить bio.","chromium","2026-04-01","failed","2026-04-01","Builder","allure.test.js","",""
